sample_id,glosses,num_frames,num_glosses,left_hand_near_zero_z,right_hand_near_zero_z,pose_near_zero_z,face_near_zero_z,custom_near_zero_z,left_hand_invalid_xy,right_hand_invalid_xy,pose_invalid_xy,face_invalid_xy,custom_invalid_xy,left_hand_temporal_jumps,right_hand_temporal_jumps,pose_temporal_jumps,face_temporal_jumps,custom_temporal_jumps,overall_quality_score,quality_label,split
01April_2010_Thursday_heute_default-0,__ON__ LIEB ZUSCHAUER ABEND WINTER GESTERN loc-NORD SCHOTTLAND loc-REGION UEBERSCHWEMMUNG AMERIKA IX,176,12,73.37662337662337,84.76731601731602,97.45179063360881,91.0669191919192,13.465909090909092,0.10822510822510822,0.0,0.0,0.0,80.0,4.816326530612245,17.931972789115648,0.0,0.0,0.0,27.579558958220804,medium,landmarks_train
01April_2010_Thursday_heute_default-2,loc-WEST WARM loc-WEST BLEIBEN KUEHL,116,5,83.9080459770115,81.44499178981938,97.04806687565308,91.79192455054525,10.258620689655173,2.2167487684729066,0.08210180623973727,0.0,0.0423666371942234,80.0,7.287784679089027,12.215320910973086,1.7391304347826086,1.6536603493125233,0.0,28.28275645179219,medium,landmarks_train
01April_2010_Thursday_heute_default-3,KUEHL KUEHL IN-KOMMEND NACHT MINUS loc-MINUS-PLUSPLUS TEIL MINUS FUENF ALPEN KUESTE NULL,208,12,83.76831501831502,63.62179487179487,97.62529137529138,91.5177103879027,8.461538461538462,0.0,0.0,0.0,0.0,80.0,7.338394294916034,10.628019323671497,0.966183574879227,0.9187001940625128,0.0,27.74187768752986,medium,landmarks_train
01April_2010_Thursday_heute_default-4,MORGEN TEMPERATUR ACHT BIS DREIZEHN MAXIMAL DREIZEHN,129,7,65.04245108896272,67.58951642672572,98.23819591261451,91.72795335586034,12.713178294573643,0.0,0.0,0.0,0.0,80.0,7.03125,13.169642857142858,1.5625,1.48571047008547,0.0,27.841251077631526,medium,landmarks_train
01April_2010_Thursday_heute_default-6,AUCH SAMSTAG WEST FREUNDLICH IX TROCKEN WEST REGEN REGEN,157,9,84.0461025174401,65.45344252350623,98.43659525188187,91.61086613315913,8.980891719745223,0.0,0.0,0.0,0.0,80.0,4.884004884004884,8.974358974358974,2.564102564102564,2.438088976550515,0.0,28.174462399649858,medium,landmarks_train
01April_2010_Thursday_heute_default-7,SONNTAG SUED SCHNEE DABEI MONTAG __EMOTION__ SCHAUER KOMMEN,211,8,73.9562175581133,74.33987813134732,98.99468619847767,91.54008182444201,13.791469194312796,0.0,0.0,0.0,0.0,80.0,5.26077097505669,8.571428571428571,1.9047619047619049,1.811151811151811,0.0,28.0075956712999,medium,landmarks_train
01April_2010_Thursday_heute_default-8,DANN FREUNDLICH KLAR MONTAG MEHR MEHR WARM AB DIENSTAG JETZT WUENSCHEN SCHOEN ABEND __OFF__,197,14,91.49141890258642,87.21295624848925,98.123365636056,91.4703457850666,17.258883248730964,0.0,0.0,0.0,0.0,80.1015228426396,3.620019436345967,8.746355685131196,0.0,0.0,0.0,27.829631710405316,medium,landmarks_train
01April_2010_Thursday_tagesschau_default-0,__ON__ WETTER WIE-AUSSEHEN MORGEN FREITAG ZWEITE APRIL __OFF__,123,8,80.13937282229965,94.73480449090205,98.6449864498645,91.73094295045514,9.1869918699187,0.0,0.0,0.0,0.0,80.0,6.167056986729118,11.475409836065573,1.639344262295082,1.5587781981224604,0.0,28.302183647336722,medium,landmarks_train
01April_2010_Thursday_tagesschau_default-2,HEUTE NACHT OST REGEN loc-NORD __EMOTION__ REGEN-PLUSPLUS MORGEN UEBERWIEGEND FREUNDLICH,202,10,85.85572842998586,76.92126355492692,98.0948094809481,91.54501988660404,4.801980198019802,0.0,0.0,0.0,0.0,80.0,9.950248756218906,16.820658611703386,2.4875621890547266,2.3653102011310967,0.0,28.407474738459243,medium,landmarks_train
01April_2010_Thursday_tagesschau_default-3,IX SCHAUER ABEND WEST loc-SUED BISSCHEN REGEN REGEN,148,8,91.82754182754182,90.86229086229086,97.46109746109745,90.74122199122199,8.378378378378379,0.0,0.0,0.0,0.0,80.0,6.737933268545514,10.884353741496598,0.0,0.0,0.0,27.689030599777176,medium,landmarks_train
